,company,typeName,cpu,processor,os,screen_size,ram,card,ssd,hdd,hard_driver,made_in,warranty,condition,price
109,HP,Elitebook,Intel,Core i7,Windows,12.5,8.0,Onboard,0,1,128.0,,3 tháng,Đã sử dụng ,5900000
110,Dell,Inspiron,Intel,Core i7,Windows,16.0,8.0,NVIDIA,0,1,128.0,Mỹ,3 tháng,Đã sử dụng ,8400000
111,HP,Elitebook,Intel,Core i7,Windows,12.5,8.0,Onboard,0,1,128.0,,3 tháng,Đã sử dụng ,5900000
112,Asus,ROG Strix Scar,AMD,Ryzen 7,Windows,15.0,8.0,NVIDIA,1,0,512.0,Việt Nam,2 tháng,Đã sử dụng ,16500000
113,Dell,Latitude,Intel,Core i5,Windows,,8.0,,1,0,256.0,,Còn bảo hành,Đã sử dụng ,6900000
114,Asus,TUF Gaming,Intel,Core i5,Windows,,8.0,Khác,0,1,500.0,,4-6 tháng,Đã sử dụng ,11200000
115,Dell,Inspiron,Intel,Core i5,Windows,15.0,8.0,AMD,1,0,256.0,,3 tháng,Đã sử dụng ,7200000
116,HP,Pavilion,Intel,Core i3,Windows,14.0,,Onboard,1,0,512.0,,7-12 tháng,Đã sử dụng ,8500000
117,Dell,Latitude,Intel,Core i7,Windows,13.6,8.0,Onboard,1,0,256.0,,Còn bảo hành,Đã sử dụng ,5400000
118,Dell,Latitude,Intel,Core i5,Windows,13.6,8.0,Onboard,1,0,256.0,Mỹ,1 tháng,Đã sử dụng ,4300000
119,Apple,MacBook Air,Intel,Core i5,iOS,13.6,4.0,Onboard,1,0,128.0,,Còn bảo hành,Đã sử dụng ,7000000
120,Dell,Precision,Intel,Core i7,Windows,15.0,16.0,NVIDIA,0,1,256.0,Mỹ,3 tháng,Đã sử dụng ,9200000
121,Asus,X Series,Intel,Core i5,Windows,16.0,8.0,Onboard,1,0,512.0,,3 tháng,Đã sử dụng ,8500000
122,MSI,Modern Series,AMD,Ryzen 5,Windows,13.0,8.0,AMD,1,0,512.0,,3 tháng,Đã sử dụng ,9500000
123,Lenovo,IdeaPad,AMD,Ryzen 5,Windows,15.0,16.0,NVIDIA,1,0,512.0,,Còn bảo hành,Mới,18900000
124,Asus,X Series,,,Windows,,,,1,0,,,Bảo hành hãng,Đã sử dụng ,12000000
125,Apple,MacBook Air,,,iOS,,,,1,0,,,Bảo hành hãng,Đã sử dụng ,6690000
126,Asus,ROG Strix Scar,AMD,Ryzen 7,Windows,16.0,8.0,NVIDIA,1,0,512.0,Đài Loan,Còn bảo hành,Đã sử dụng ,16490000
127,Dell,Latitude,Intel,Core i7,Windows,13.0,8.0,Onboard,1,0,256.0,,Còn bảo hành,Đã sử dụng ,5900000
128,Dell,Latitude,Intel,Core i5,Windows,15.6,8.0,Onboard,0,1,128.0,Mỹ,3 tháng,Đã sử dụng ,3300000
129,HP,ZBook,,,Windows,,,,0,1,,,Bảo hành hãng,Đã sử dụng ,21900000
